fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,vintage_year,bottle_size_ml,price_usd,region,grape_variety,oak_aging_months,serving_temp_c,rating
13.03,0.475,0.385,13.02,0.116,72.0,12.0,0.99569,3.65,1.48,9.3,5.0,2020.0,500.0,39.13,Napa Valley,Syrah,,15.4,4.7
14.83,0.334,0.851,10.29,0.091,39.0,120.0,1.0039,2.96,0.87,8.8,6.0,2014.0,1000.0,146.57,Barossa,Merlot,3.0,16.4,3.6
14.34,0.844,0.317,3.45,0.182,,116.0,1.00082,3.38,0.52,11.0,4.0,2023.0,500.0,55.84,Bordeaux,Tempranillo,6.0,14.9,3.0
11.08,1.579,0.169,2.17,0.031,34.0,27.0,0.99072,4.01,0.88,13.6,3.0,2016.0,1500.0,33.86,Bordeaux,Sangiovese,0.0,20.0,3.4
14.64,0.478,0.557,10.07,0.104,54.0,47.0,1.00172,4.09,0.91,13.2,7.0,2011.0,750.0,120.14,Napa Valley,Sangiovese,12.0,19.6,3.5
5.47,1.115,0.936,1.57,0.012,3.0,124.0,1.00242,3.45,1.19,8.4,5.0,2013.0,375.0,101.54,Napa Valley,Syrah,21.0,17.2,4.6
6.66,1.247,0.696,,0.099,50.0,24.0,1.00126,,1.14,11.2,4.0,2011.0,375.0,78.74,Douro,Sangiovese,20.0,19.1,4.3
5.0,0.472,0.57,14.18,0.021,12.0,128.0,1.00199,4.09,0.78,11.7,5.0,2023.0,1000.0,86.86,Napa Valley,Pinot Noir,21.0,17.1,4.4
8.08,1.198,0.097,9.14,0.033,65.0,37.0,1.00238,,0.56,12.5,,2022.0,500.0,110.13,Rioja,Sangiovese,27.0,17.7,2.5
8.78,0.664,0.615,6.56,0.032,54.0,48.0,0.9928,2.85,1.07,12.6,4.0,2022.0,,40.44,Barossa,Merlot,8.0,14.5,3.5
7.48,1.056,0.99,10.08,0.133,5.0,26.0,0.99354,4.08,,10.6,8.0,2021.0,750.0,149.48,Napa Valley,Merlot,25.0,18.5,3.7
13.62,1.058,0.14,7.52,0.152,57.0,95.0,0.99951,3.15,,11.9,3.0,2016.0,1000.0,146.42,Tuscany,,8.0,14.8,2.5
8.42,0.913,0.518,8.73,0.121,17.0,135.0,1.00362,3.61,1.38,11.4,5.0,2011.0,375.0,100.35,Douro,Cabernet Sauvignon,14.0,,3.1
7.59,,0.877,14.19,0.193,47.0,53.0,0.99474,3.03,1.13,14.2,5.0,,375.0,36.34,Tuscany,Pinot Noir,9.0,18.7,4.4
,1.356,0.741,6.53,0.081,23.0,34.0,,2.85,1.12,11.7,8.0,2023.0,1500.0,104.59,Bordeaux,Tempranillo,23.0,18.3,2.8
6.05,0.595,0.697,14.46,0.064,14.0,,,3.24,1.29,11.1,7.0,,1500.0,,Barossa,Pinot Noir,7.0,14.2,3.8
13.32,0.396,0.702,13.69,0.175,66.0,22.0,0.99678,3.89,0.94,10.8,,2010.0,750.0,12.35,Napa Valley,Cabernet Sauvignon,23.0,,3.0
5.32,0.18,0.359,3.9,0.052,51.0,34.0,1.00071,3.19,1.28,12.0,3.0,2018.0,500.0,44.59,Tuscany,Sangiovese,15.0,15.6,2.5
15.36,0.995,0.294,2.16,0.193,38.0,77.0,1.0035,3.11,0.9,13.6,3.0,2010.0,1000.0,73.69,Barossa,Sangiovese,25.0,16.2,3.1
12.99,1.123,0.809,,,64.0,147.0,0.99936,3.1,0.38,,6.0,2017.0,750.0,131.29,Bordeaux,Cabernet Sauvignon,26.0,14.5,4.9
6.69,,,1.45,0.194,,76.0,0.9981,3.52,0.79,12.6,8.0,2011.0,1500.0,111.26,,Tempranillo,3.0,19.6,
,0.878,0.867,2.5,0.018,50.0,118.0,0.99658,4.17,0.9,13.2,7.0,2021.0,1000.0,113.46,Douro,Cabernet Sauvignon,23.0,17.3,4.9
13.47,0.455,0.913,10.63,0.179,30.0,155.0,0.99866,3.44,1.16,,4.0,2017.0,1500.0,68.42,Barossa,Syrah,18.0,15.8,3.7
12.28,1.075,0.511,2.18,0.11,51.0,120.0,0.99533,3.58,0.43,11.0,5.0,2022.0,1000.0,57.12,Barossa,Merlot,35.0,16.4,2.8
12.52,0.378,0.502,5.6,0.199,63.0,,0.99587,4.0,0.47,14.1,3.0,2012.0,500.0,60.69,Rioja,Tempranillo,9.0,16.7,3.9
12.98,1.143,0.798,12.86,0.024,52.0,43.0,0.99798,3.55,0.62,10.9,5.0,2015.0,750.0,148.25,Barossa,Pinot Noir,24.0,17.6,3.6
5.31,0.692,0.65,1.52,0.115,38.0,120.0,0.991,3.06,0.62,11.2,5.0,2012.0,1000.0,13.7,Bordeaux,Syrah,17.0,17.1,4.6
8.44,1.506,0.702,12.44,0.194,30.0,17.0,0.99344,3.22,1.18,14.9,6.0,2023.0,375.0,131.12,Bordeaux,Tempranillo,18.0,19.5,2.7
5.77,0.324,0.796,5.09,0.109,51.0,122.0,0.99814,3.23,0.6,8.0,7.0,2016.0,375.0,90.17,Rioja,Cabernet Sauvignon,35.0,17.0,3.7
13.99,0.625,0.89,2.83,0.13,5.0,92.0,0.99647,3.36,1.06,9.3,3.0,2019.0,1000.0,70.28,Douro,,9.0,20.0,2.9
11.36,0.288,0.338,10.81,0.142,29.0,51.0,0.99499,3.4,0.89,10.7,5.0,2018.0,,110.99,Napa Valley,Cabernet Sauvignon,32.0,19.1,3.3
8.14,1.489,0.376,9.88,0.096,4.0,110.0,1.00096,3.92,0.99,14.5,3.0,2011.0,1000.0,77.11,Tuscany,Cabernet Sauvignon,4.0,15.3,4.3
5.2,1.418,0.094,13.31,0.129,10.0,15.0,1.00041,3.29,1.31,8.5,4.0,2021.0,,132.03,Napa Valley,Pinot Noir,34.0,19.6,3.7
7.92,0.502,0.578,11.34,0.121,56.0,35.0,0.9925,3.46,0.79,8.1,6.0,2021.0,375.0,135.9,Barossa,Syrah,33.0,14.7,3.4
8.08,1.097,0.036,12.29,0.181,17.0,,1.00318,3.67,1.23,8.4,4.0,2023.0,1000.0,67.88,Tuscany,Sangiovese,32.0,18.9,3.5
12.53,1.329,0.466,5.09,0.019,74.0,68.0,0.99743,3.33,0.81,8.6,3.0,2014.0,1500.0,47.31,Rioja,Merlot,20.0,16.3,3.6
11.51,0.942,0.543,3.65,0.063,17.0,118.0,1.00112,3.97,0.72,8.3,3.0,2022.0,1500.0,92.11,Rioja,Pinot Noir,16.0,19.3,4.5
14.26,,0.287,11.56,0.191,69.0,130.0,0.9986,3.62,1.45,11.4,7.0,2015.0,500.0,137.56,Douro,Pinot Noir,21.0,19.2,
9.69,0.478,0.591,,0.179,34.0,42.0,1.00497,3.21,0.52,12.1,5.0,2013.0,750.0,37.91,Tuscany,Sangiovese,,18.8,4.9
5.82,0.258,0.031,14.87,0.097,6.0,,1.00129,3.8,0.41,9.9,5.0,2013.0,1500.0,96.46,Bordeaux,Sangiovese,34.0,18.7,4.5
12.35,1.448,0.037,6.89,0.128,53.0,30.0,1.0006,3.54,1.23,10.8,4.0,2013.0,375.0,,Tuscany,Merlot,27.0,15.8,3.3
12.87,1.453,0.823,6.33,0.063,,79.0,,3.55,0.38,8.6,6.0,2011.0,1500.0,112.1,Barossa,Merlot,6.0,14.5,4.2
,1.057,0.36,11.91,0.046,43.0,121.0,0.99215,3.47,1.3,10.4,8.0,2013.0,500.0,26.68,Bordeaux,Sangiovese,31.0,16.4,3.6
12.98,0.622,,5.9,0.098,23.0,13.0,0.99307,3.5,0.82,11.7,5.0,2020.0,500.0,109.65,Rioja,Cabernet Sauvignon,10.0,15.0,3.1
9.93,0.637,0.522,14.04,0.077,55.0,103.0,1.00071,3.87,1.4,,7.0,2010.0,750.0,137.08,Tuscany,Pinot Noir,9.0,18.2,4.6
10.25,1.194,0.77,,0.121,16.0,84.0,0.99741,2.94,1.17,,4.0,2021.0,1500.0,33.52,Napa Valley,Tempranillo,8.0,16.1,2.6
,1.448,0.216,7.12,0.025,8.0,71.0,1.00132,3.27,1.03,11.3,4.0,2015.0,375.0,41.73,Douro,Merlot,13.0,19.9,4.8
4.78,1.433,0.623,11.56,0.195,4.0,103.0,0.99154,2.91,,10.1,8.0,2010.0,375.0,145.94,Napa Valley,Merlot,12.0,17.8,3.7
5.69,1.274,0.085,11.61,0.197,4.0,104.0,0.99805,3.85,0.78,14.0,7.0,2019.0,1000.0,33.7,Douro,Sangiovese,24.0,18.9,4.1
